date,ticker,open,high,low,close,volume
2026-03-11,051910,321500.0,329500.0,312000.0,315500.0,217879.0
2026-03-12,051910,311000.0,313500.0,304000.0,306000.0,308065.0
2026-03-13,051910,295000.0,301500.0,294500.0,297500.0,273412.0
2026-03-16,051910,296000.0,297500.0,288000.0,292000.0,325789.0
2026-03-17,051910,300000.0,313500.0,300000.0,307500.0,256068.0
2026-03-18,051910,314000.0,324000.0,312000.0,320000.0,278071.0
2026-03-19,051910,308000.0,313000.0,303500.0,303500.0,207291.0
2026-03-20,051910,310000.0,312500.0,306500.0,310000.0,214904.0
2026-03-23,051910,298000.0,299500.0,289000.0,290000.0,249892.0
2026-03-24,051910,305000.0,315000.0,303000.0,314000.0,337381.0
2026-03-25,051910,319500.0,323000.0,311500.0,318000.0,218075.0
2026-03-26,051910,320000.0,326500.0,311000.0,314000.0,213175.0
2026-03-27,051910,304000.0,316500.0,298500.0,313000.0,239600.0
2026-03-30,051910,299000.0,328500.0,297000.0,322000.0,387305.0
2026-03-31,051910,319000.0,321000.0,297500.0,299000.0,473765.0
2026-04-01,051910,314500.0,315500.0,302500.0,312500.0,322039.0
2026-04-02,051910,316000.0,326500.0,298000.0,302000.0,438492.0
2026-04-03,051910,309500.0,311500.0,299500.0,304500.0,241336.0
2026-04-06,051910,303500.0,320500.0,303500.0,317000.0,299795.0
2026-04-07,051910,316500.0,331000.0,315000.0,323500.0,313215.0
2026-04-08,051910,342000.0,346500.0,331000.0,344500.0,374125.0
2026-04-09,051910,353500.0,367000.0,348500.0,355000.0,717366.0
2026-04-10,051910,359500.0,362500.0,351500.0,356000.0,283205.0
2026-04-13,051910,344000.0,345000.0,336000.0,340000.0,264626.0
2026-04-14,051910,346000.0,350500.0,340500.0,341500.0,164618.0
2026-04-15,051910,349500.0,363000.0,348000.0,354000.0,322452.0
2026-04-16,051910,360500.0,365000.0,351500.0,357500.0,218360.0
2026-04-17,051910,357500.0,362000.0,352500.0,360000.0,188824.0
2026-04-20,051910,360000.0,374000.0,359000.0,365500.0,239109.0
2026-04-21,051910,374000.0,390000.0,371000.0,389500.0,449161.0
2026-04-22,051910,390000.0,399500.0,385000.0,392000.0,344699.0
2026-04-23,051910,400500.0,403500.0,384500.0,391500.0,373795.0
2026-04-24,051910,390000.0,393500.0,378500.0,391500.0,309047.0
2026-04-27,051910,390000.0,390000.0,377000.0,379500.0,305442.0
2026-04-28,051910,386000.0,403500.0,385000.0,394000.0,339216.0
2026-04-29,051910,397500.0,411500.0,395000.0,407500.0,414937.0
2026-04-30,051910,407500.0,407500.0,392000.0,397000.0,283039.0
2026-05-04,051910,411500.0,435000.0,408000.0,429000.0,609933.0
2026-05-06,051910,436000.0,436000.0,413000.0,423500.0,372989.0
2026-05-07,051910,424500.0,429000.0,413750.0,425000.0,397016.0
2026-05-08,051910,425000.0,437500.0,414500.0,429500.0,316902.0
2026-05-11,051910,426500.0,431750.0,415500.0,423500.0,323937.0
2026-05-12,051910,419000.0,420500.0,377000.0,388500.0,1047094.0
2026-05-13,051910,395000.0,397000.0,374000.0,387500.0,337701.0
2026-05-14,051910,394500.0,395000.0,376500.0,392500.0,365104.0
2026-05-15,051910,393000.0,409500.0,367000.0,374000.0,407694.0
2026-05-18,051910,378500.0,380000.0,351500.0,373000.0,248124.0
2026-05-19,051910,369500.0,369500.0,341500.0,350500.0,395053.0
2026-05-20,051910,353500.0,354000.0,326000.0,332000.0,458363.0
2026-05-21,051910,343000.0,349500.0,336000.0,348000.0,373133.0
2026-05-22,051910,357000.0,362000.0,345500.0,351000.0,349477.0
2026-05-26,051910,359000.0,361000.0,349500.0,351000.0,288865.0
2026-05-27,051910,348500.0,351500.0,330500.0,331000.0,447062.0
2026-05-28,051910,331000.0,331000.0,331000.0,331000.0,0.0
2025-01-09,006400,244268.0,245247.0,232520.0,233988.0,722180.0
2025-01-10,006400,233988.0,234967.0,227625.0,229093.0,413626.0
2025-01-13,006400,227625.0,230072.0,224688.0,224688.0,375335.0
2025-01-14,006400,227625.0,233499.0,225667.0,231541.0,361798.0
2025-01-15,006400,232030.0,233499.0,226156.0,226646.0,282940.0
2025-01-16,006400,230562.0,234478.0,229093.0,229583.0,292772.0
2025-01-17,006400,228114.0,231541.0,227625.0,229093.0,215816.0
2025-01-20,006400,230072.0,239373.0,230072.0,238394.0,436132.0
2025-01-21,006400,235946.0,237905.0,225177.0,229093.0,429840.0
2025-01-22,006400,230562.0,236436.0,229583.0,234478.0,275832.0
2025-01-23,006400,233009.0,233499.0,227625.0,227625.0,245299.0
2025-01-24,006400,228114.0,229583.0,220282.0,221750.0,486053.0
2025-01-31,006400,220771.0,221261.0,215387.0,217345.0,412029.0
2025-02-03,006400,211960.0,211960.0,202659.0,203638.0,518647.0
2025-02-04,006400,206086.0,209513.0,201191.0,201191.0,523511.0
2025-02-05,006400,203638.0,211471.0,203149.0,208044.0,404393.0
2025-02-06,006400,208534.0,209513.0,204128.0,207555.0,351675.0
2025-02-07,006400,205107.0,211960.0,204128.0,205107.0,313332.0
2025-02-10,006400,201191.0,208534.0,195806.0,206575.0,677930.0
2025-02-11,006400,205596.0,210492.0,203638.0,206086.0,296924.0
2025-02-12,006400,206086.0,208044.0,203638.0,204617.0,247127.0
2025-02-13,006400,206575.0,212450.0,206086.0,209513.0,840837.0
2025-02-14,006400,209513.0,212450.0,207065.0,209023.0,314999.0
2025-02-17,006400,210981.0,217345.0,208534.0,214897.0,359054.0
2025-02-18,006400,216855.0,216855.0,210492.0,212939.0,266985.0
2025-02-19,006400,211471.0,223219.0,211471.0,221261.0,511308.0
2025-02-20,006400,220771.0,227135.0,219792.0,222240.0,395944.0
2025-02-21,006400,222730.0,228114.0,220282.0,226646.0,390614.0
2025-02-24,006400,223709.0,243289.0,223219.0,241821.0,810911.0
2025-02-25,006400,238394.0,242310.0,231541.0,231541.0,580972.0
2025-02-26,006400,229583.0,235457.0,228114.0,232520.0,682151.0
2025-02-27,006400,234967.0,237415.0,231051.0,233499.0,441715.0
2025-02-28,006400,230072.0,230072.0,217834.0,219303.0,704342.0
2025-03-04,006400,217345.0,219303.0,208044.0,208534.0,604511.0
2025-03-05,006400,210981.0,212450.0,205596.0,209023.0,562644.0
2025-03-06,006400,211471.0,216366.0,207065.0,208044.0,584454.0
2025-03-07,006400,205596.0,216366.0,203638.0,213918.0,522099.0
2025-03-10,006400,213918.0,215876.0,209023.0,211471.0,472306.0
2025-03-11,006400,202659.0,206575.0,201680.0,204617.0,487464.0
2025-03-12,006400,207555.0,210492.0,205596.0,208534.0,387217.0
2025-03-13,006400,210981.0,211960.0,199722.0,199722.0,1089451.0
2025-03-14,006400,195317.0,205107.0,185330.0,187386.0,2851908.0
2025-03-17,006400,187191.0,188561.0,182883.0,186407.0,976834.0
2025-03-18,006400,187386.0,191792.0,186652.0,186799.0,772604.0
2025-03-19,006400,186505.0,190911.0,186505.0,187876.0,790168.0
2025-03-20,006400,190617.0,201191.0,189834.0,198254.0,1348840.0
2025-03-21,006400,198743.0,199233.0,192184.0,196296.0,724665.0
2025-03-24,006400,196785.0,198743.0,193456.0,197275.0,286162.0
2025-03-25,006400,199722.0,201191.0,195708.0,197764.0,254973.0
2025-03-26,006400,198254.0,208044.0,196296.0,204128.0,445857.0
2025-03-27,006400,200701.0,202170.0,197275.0,197275.0,305262.0
2025-03-28,006400,197764.0,199233.0,193359.0,195219.0,337896.0
2025-03-31,006400,191596.0,192379.0,184547.0,184547.0,576174.0
2025-04-01,006400,186505.0,189834.0,185330.0,189540.0,352728.0
2025-04-02,006400,189638.0,190324.0,181708.0,182589.0,467150.0
2025-04-03,006400,176715.0,181316.0,175540.0,179358.0,373181.0
2025-04-04,006400,175736.0,187289.0,175736.0,186799.0,478175.0
2025-04-07,006400,179358.0,180925.0,176030.0,176323.0,382779.0
2025-04-08,006400,179946.0,180239.0,172211.0,172603.0,418533.0
2025-04-09,006400,169079.0,173582.0,166435.0,168099.0,550125.0
2025-04-10,006400,177900.0,178300.0,172800.0,177200.0,492598.0
2025-04-11,006400,173000.0,177100.0,172000.0,175600.0,355010.0
2025-04-14,006400,177600.0,181900.0,177100.0,178400.0,278232.0
2025-04-15,006400,179400.0,184100.0,176300.0,182600.0,303559.0
2025-04-16,006400,182000.0,184400.0,176600.0,177000.0,272189.0
2025-04-17,006400,178000.0,182700.0,177000.0,180900.0,246328.0
2025-04-18,006400,182100.0,182100.0,178500.0,180000.0,146661.0
2025-04-21,006400,179000.0,180500.0,176700.0,177800.0,184454.0
2025-04-22,006400,176900.0,179800.0,176200.0,177300.0,213303.0
2025-04-23,006400,180000.0,190400.0,179900.0,190400.0,532051.0
2025-04-24,006400,191200.0,191300.0,183700.0,184700.0,330284.0
2025-04-25,006400,186700.0,189400.0,184000.0,185100.0,328738.0
2025-04-28,006400,184500.0,189600.0,183500.0,184200.0,327979.0
2025-04-29,006400,185000.0,185500.0,182000.0,183600.0,241248.0
2025-04-30,006400,183100.0,183300.0,175600.0,176000.0,606531.0
2025-05-02,006400,176400.0,177000.0,170900.0,173600.0,330151.0
2025-05-07,006400,175400.0,176400.0,171400.0,172200.0,405002.0
2025-05-08,006400,172100.0,173400.0,170100.0,172200.0,584179.0
2025-05-09,006400,173800.0,173800.0,170300.0,170400.0,227421.0
2025-05-12,006400,170700.0,174900.0,170600.0,174900.0,260867.0
2025-05-13,006400,175400.0,176200.0,170600.0,170900.0,296932.0
2025-05-14,006400,171400.0,173600.0,167300.0,173000.0,356073.0
2025-05-15,006400,171300.0,173000.0,169600.0,169700.0,265305.0
2025-05-16,006400,170000.0,170000.0,164100.0,164700.0,662722.0
2025-05-19,006400,163400.0,173300.0,163400.0,169400.0,490511.0
2025-05-20,006400,170400.0,170800.0,160600.0,161500.0,568781.0
2025-05-21,006400,162100.0,165500.0,161600.0,161800.0,291613.0
2025-05-22,006400,161800.0,164700.0,157700.0,163100.0,395732.0
2025-05-23,006400,162700.0,163400.0,159200.0,160200.0,268120.0
2025-05-26,006400,160200.0,168400.0,160200.0,166000.0,396990.0
2025-05-27,006400,164400.0,164600.0,159400.0,160200.0,488202.0
2025-05-28,006400,161300.0,176000.0,160800.0,174100.0,1002912.0
2025-05-29,006400,175800.0,175800.0,169000.0,174400.0,557915.0
2025-05-30,006400,172500.0,174000.0,168900.0,168900.0,1009215.0
2025-06-02,006400,170000.0,172900.0,167000.0,172800.0,438261.0
2025-06-04,006400,174600.0,179000.0,171400.0,172400.0,503464.0
2025-06-05,006400,170800.0,176300.0,170200.0,174300.0,370426.0
2025-06-09,006400,173500.0,173600.0,169500.0,170800.0,489915.0
2025-06-10,006400,171900.0,172900.0,169400.0,170300.0,426240.0
2025-06-11,006400,170800.0,175000.0,170300.0,172900.0,603691.0
2025-06-12,006400,171500.0,176900.0,171100.0,174800.0,1132120.0
2025-06-13,006400,173900.0,175900.0,169800.0,172100.0,666710.0
2025-06-16,006400,170900.0,171200.0,165900.0,168900.0,610282.0
2025-06-17,006400,169000.0,172900.0,166900.0,169300.0,508546.0
2025-06-18,006400,168300.0,170700.0,167100.0,169200.0,399040.0
2025-06-19,006400,169300.0,170800.0,167900.0,168200.0,408738.0
2025-06-20,006400,168200.0,177000.0,166500.0,176300.0,934905.0
2025-06-23,006400,172800.0,172900.0,168300.0,169300.0,571851.0
2025-06-24,006400,172500.0,182300.0,172400.0,176800.0,742543.0
2025-06-25,006400,177700.0,177800.0,173300.0,175400.0,421667.0
2025-06-26,006400,177000.0,178700.0,173100.0,174600.0,418901.0
2025-06-27,006400,175300.0,175300.0,169600.0,169700.0,478562.0
2025-06-30,006400,171000.0,175500.0,170900.0,172800.0,414084.0
2025-07-01,006400,173400.0,181700.0,172300.0,178200.0,885032.0
2025-07-02,006400,176600.0,179100.0,175200.0,179000.0,470497.0
2025-07-03,006400,180000.0,187000.0,178600.0,185300.0,850429.0
2025-07-04,006400,182800.0,183600.0,179500.0,181100.0,500743.0
2025-07-07,006400,182800.0,183700.0,176800.0,177000.0,504717.0
2025-07-08,006400,175400.0,178500.0,174000.0,175000.0,493345.0
2025-07-09,006400,175500.0,176900.0,169700.0,170100.0,689370.0
2025-07-10,006400,171000.0,171900.0,169900.0,170300.0,554246.0
2025-07-11,006400,171100.0,181000.0,171000.0,179400.0,1066739.0
2025-07-14,006400,180200.0,181100.0,176700.0,181100.0,399191.0
2025-07-15,006400,180600.0,181000.0,177800.0,179200.0,328760.0
2025-07-16,006400,178700.0,180000.0,175900.0,176100.0,278372.0
2025-07-17,006400,177400.0,179200.0,174600.0,179000.0,356729.0
2025-07-18,006400,180700.0,184300.0,180050.0,182500.0,686213.0
2025-07-21,006400,182500.0,186500.0,180900.0,185800.0,517341.0
2025-07-22,006400,187600.0,189200.0,181500.0,181900.0,473977.0
2025-07-23,006400,184000.0,185900.0,180100.0,184600.0,404059.0
2025-07-24,006400,186400.0,193900.0,185100.0,190300.0,1013457.0
2025-07-25,006400,193300.0,193300.0,187000.0,189800.0,525343.0
2025-07-28,006400,191900.0,195700.0,190500.0,194500.0,753603.0
2025-07-29,006400,192200.0,192300.0,187200.0,191100.0,536337.0
2025-07-30,006400,190700.0,210000.0,190700.0,206000.0,1593192.0
2025-07-31,006400,212500.0,212500.0,197500.0,201000.0,948283.0
2025-08-01,006400,196400.0,198000.0,189800.0,190000.0,843531.0
2025-08-04,006400,190800.0,194000.0,189500.0,193700.0,434105.0
2025-08-05,006400,197600.0,221500.0,197500.0,213500.0,1875615.0
2025-08-06,006400,212000.0,223000.0,211000.0,218000.0,1157281.0
2025-08-07,006400,223000.0,223000.0,214500.0,217000.0,467950.0
2025-08-08,006400,221500.0,221500.0,215000.0,218000.0,361289.0
2025-08-11,006400,221500.0,234000.0,221000.0,225000.0,983767.0
2025-08-12,006400,225000.0,226500.0,221000.0,221000.0,403226.0
2025-08-13,006400,225500.0,225500.0,218000.0,221500.0,325765.0
2025-08-14,006400,223500.0,229000.0,223000.0,224000.0,448035.0
2025-08-18,006400,222500.0,224500.0,216000.0,219500.0,319220.0
2025-08-19,006400,220500.0,223500.0,215500.0,221000.0,268361.0
2025-08-20,006400,218000.0,224000.0,216000.0,217500.0,377027.0
2025-08-21,006400,219000.0,219500.0,214500.0,215500.0,325179.0
2025-08-22,006400,216500.0,219000.0,213500.0,216000.0,373227.0
2025-08-25,006400,220000.0,223500.0,217500.0,221500.0,254189.0
2025-08-26,006400,221000.0,225750.0,219500.0,221000.0,480981.0
2025-08-27,006400,224000.0,224000.0,217500.0,220000.0,362256.0
2025-08-28,006400,220500.0,222500.0,215000.0,216000.0,336139.0
2025-08-29,006400,216500.0,216500.0,206000.0,207000.0,619884.0
2025-09-01,006400,202500.0,206500.0,201500.0,203000.0,300030.0
2025-09-02,006400,204000.0,204000.0,199400.0,202500.0,295808.0
2025-09-03,006400,203000.0,204500.0,200000.0,201500.0,252531.0
2025-09-04,006400,205500.0,205500.0,201000.0,202500.0,260018.0
2025-09-05,006400,202500.0,203500.0,199300.0,199500.0,303237.0
2025-09-08,006400,197900.0,201500.0,197600.0,199900.0,207896.0
2025-09-09,006400,200500.0,202500.0,199600.0,201500.0,307287.0
2025-09-10,006400,200000.0,200500.0,196800.0,198100.0,689275.0
2025-09-11,006400,199700.0,201000.0,198000.0,198300.0,488743.0
2025-09-12,006400,201500.0,204000.0,200000.0,204000.0,534562.0
2025-09-15,006400,206000.0,207000.0,200500.0,201500.0,592824.0
2025-09-16,006400,203000.0,205000.0,201500.0,204000.0,398951.0
2025-09-17,006400,204500.0,207500.0,202500.0,204000.0,342331.0
2025-09-18,006400,205000.0,209000.0,202500.0,209000.0,374497.0
2025-09-19,006400,207500.0,209000.0,203000.0,203000.0,858121.0
2025-09-22,006400,205000.0,211000.0,203500.0,207500.0,406999.0
2025-09-23,006400,208500.0,211500.0,207500.0,210000.0,296713.0
2025-09-24,006400,211500.0,211500.0,203000.0,205500.0,361727.0
2025-09-25,006400,206000.0,211500.0,205500.0,210500.0,416263.0
2025-09-26,006400,208000.0,208000.0,202500.0,202500.0,378492.0
2025-09-29,006400,205500.0,208000.0,204500.0,206000.0,205188.0
2025-09-30,006400,205000.0,209000.0,204500.0,205000.0,247788.0
2025-10-01,006400,206000.0,207500.0,203000.0,204000.0,216933.0
2025-10-02,006400,207500.0,212000.0,206500.0,206500.0,588864.0
2025-10-10,006400,208500.0,208500.0,202500.0,207000.0,461084.0
2025-10-13,006400,203500.0,214000.0,201500.0,210500.0,628628.0
2025-10-14,006400,211500.0,223000.0,209500.0,220000.0,1096518.0
2025-10-15,006400,223000.0,223000.0,217500.0,221500.0,450096.0
2025-10-16,006400,222000.0,236000.0,221000.0,236000.0,1126965.0
2025-10-17,006400,234000.0,259500.0,232000.0,255500.0,2155134.0
2025-10-20,006400,258000.0,261500.0,248000.0,260500.0,876562.0
2025-10-21,006400,261500.0,267000.0,255500.0,259000.0,942968.0
